广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,2293.63,2.36945248,22,104.25590909,0.13883669,2026-05-22,2026-05-22
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,94.59,1.24460526,4,23.6475,0.47203721,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_fl_dhr_WZC_07A,USD,12.51,2.085,3,4.17,3.00639488,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083X,USD,31.35,1.49285714,3,10.45,1.05454545,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083O,USD,46.27,2.72176471,3,15.42333333,0.80203155,2026-05-22,2026-05-22
"20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_04A - Copy",USD,26.4,3.77142857,2,13.2,0.91590909,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_12A,USD,14.6,2.08571429,2,7.3,4.21712329,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_07A,USD,14.66,2.932,1,14.66,1.0313779,2026-05-22,2026-05-22
20260213_Justfit_EN_720x1280_FX-Slim_ZT-bedworkout_LVL1_typeface_RS-P2X1R1C3_FL_WZC_19A,USD,36.72,2.16,1,36.72,0.25272331,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_095KB_DHR_18A,USD,37.05,1.27758621,1,37.05,0.54898785,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Ai_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_21A,USD,13.62,3.405,1,13.62,1.49339207,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083U,USD,11.23,2.8075,1,11.23,1.35262689,2026-05-22,2026-05-22
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A,USD,0.52,0,,,0,2026-05-22,2026-05-22
20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,1.18,1.18,,,0,2026-05-22,2026-05-22
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_088A,USD,1.69,0,,,0,2026-05-22,2026-05-22
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_093A,USD,30.54,4.36285714,,,0,2026-05-22,2026-05-22
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_087A,USD,0.32,0,,,0,2026-05-22,2026-05-22
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_094A,USD,14.79,2.465,,,0,2026-05-22,2026-05-22
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_089A,USD,15.17,1.89625,,,0,2026-05-22,2026-05-22
20260515_JustFit_EN_720x1280_FX-Plot_ZT-dailyyoga_LVL1_typeface_RS-P2X1R1C5_WZC_03A,USD,5.09,0,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_05A,USD,28,2.8,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_01A,USD,2.16,0,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_06A,USD,5.56,2.78,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_03A,USD,8.89,1.778,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_02A,USD,12.37,2.474,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_14A,USD,12.43,1.38111111,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_04A,USD,0.95,0,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_07A,USD,31.39,2.41461538,,,0,2026-05-22,2026-05-22
20260518_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_08A,USD,3.49,0,,,0,2026-05-22,2026-05-22
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,14.98,2.49666667,,,0,2026-05-22,2026-05-22
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy",USD,16.44,3.288,,,0,2026-05-22,2026-05-22
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,0.78,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZX_pingme_FL_08A,USD,10.55,2.6375,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_25A,USD,4.37,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_LLX_pingme_FL_72A,USD,4.79,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_32A,USD,8.81,1.762,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZX_pingme_FL_07A,USD,4.36,1.45333333,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_28A,USD,2.97,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_29A,USD,4.65,4.65,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_33A,USD,0.83,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_23A,USD,9.5,1.9,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_FL_98A,USD,11.59,1.65571429,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZX_pingme_FL_03A,USD,15.35,3.8375,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZL_pingme_FL_30A,USD,1.33,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_04A,USD,23.41,3.34428571,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_14A,USD,0.37,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_02A,USD,9.48,4.74,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,13.89,13.89,,,0,2026-05-22,2026-05-22
